ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre,Capacity,Street,ProdCredits,Special,Organizer
1,13,Original,Musical, Comedy,10,2008,1,2009,105.0,OM,19.0,Bernard B. Jacobs ,1078,45,11,,Shubert 
2,1984,Original,Play, Drama,6,2017,10,2017,125.0,OP,15.0,Hudson ,970,44,5,,Ambassador  
3,[title of show] ,Original,Musical, Comedy,7,2008,10,2008,102.0,OM,6.0,Lyceum ,922,45,9,,Shubert 
4,110 in the Shade,Revival,Musical,,5,2007,7,2007,94.0,RM,17.0,Studio 54,1006,54,20,,Roundabout  
5,33 Variations,Original,Play, Drama,3,2009,5,2009,85.0,OP,12.0,Eugene O'Neill ,1066,49,5,,Jujamcyn 
6,700 Sundays,Original,Play, Solo,11,2013,1,2014,46.0,OP,1.0,Imperial ,1443,45,27,,Shubert 
7,9 to 5: The Musical ,Original,Musical, Comedy,4,2009,9,2009,148.0,OM,30.0,Marquis ,1612,46,38,,Nederlander 
8,A Behanding in Spokane,Original,Play, Comedy,3,2010,6,2010,108.0,OP,8.0,Gerald Schoenfeld ,1079,45,16,,Shubert 
9,A Bronx Tale The Musical ,Original,Musical,,12,2016,NA,NA,396.0,OM,30.0,Longacre ,1091,48,23,,Shubert 
10,A Catered Affair,Original,Musical,,4,2008,7,2008,116.0,OM,14.0,Walter Kerr ,945,48,11,,Jujamcyn 
11,A Chorus Line ,Revival,Musical, Drama,10,2006,8,2008,759.0,RM,29.0,Gerald Schoenfeld ,1079,45,25,,Shubert 
12,A Christmas Story - The Musical!,Original,Musical, Comedy,11,2012,12,2012,51.0,OM,33.0,Lunt-Fontanne ,1519,46,29,Kids,Nederlander 
13,A Delicate Balance,Revival,Play, Drama,11,2014,2,2015,108.0,RP,10.0,John Golden ,805,45,22,,Shubert 
14,"A Doll's House, Part 2 ",Original,Play, Drama,4,2017,9,2017,172.0,OP,8.0,John Golden ,805,45,0,,Shubert 
15,A Free Man of Color,Original,Play, Drama,11,2010,1,2011,61.0,OP,32.0,Vivian Beaumont,1080,65,6,,Lincoln Center 
16,A Gentleman's Guide to Love and Murder ,Original,Musical, Comedy,11,2013,1,2016,905.0,OM,15.0,Walter Kerr ,945,48,33,,Jujamcyn 
