Show,Category
13,0
1984,0
[title of show] ,0
110 in the Shade,0
33 Variations,0
700 Sundays,1
9 to 5: The Musical ,1
A Behanding in Spokane,0
A Bronx Tale The Musical ,1
A Catered Affair,0
A Chorus Line ,1
A Christmas Story - The Musical!,1
A Delicate Balance,0
"A Doll's House, Part 2 ",0
A Free Man of Color,0
A Gentleman's Guide to Love and Murder ,1
A Life in the Theatre ,0
A Little Night Music ,1
A Man for All Seasons ,0
A Moon for the Misbegotten ,1
A Night With Janis Joplin ,0
A Raisin in the Sun ,1
A Steady Rain ,1
A Streetcar Named Desire,0
A Tale of Two Cities ,0
A Time to Kill ,0
A Touch of the Poet,0
A View from the Bridge  - Rev 3,1
A View From the Bridge  - Rev 4,0
Accent on Youth ,0
Act One ,0
After Midnight ,0
After Miss Julie ,0
Airline Highway ,0
Aladdin ,1
All About Me ,0
All My Sons ,1
All the Way ,1
Allegiance ,0
Amazing Grace ,0
Amelie ,0
American Buffalo ,0
American Idiot ,1
American Psycho ,0
An Act of God  - Jim Parsons,1
An Act of God  - Sean Hayes,0
An American in Paris ,1
An Enemy of the People ,0
Anastasia ,1
Ann,0
Annie ,1
Anything Goes ,0
Arcadia ,0
August: Osage County ,1
Avenue Q ,1
Awake and Sing! ,0
Baby It's You! ,0
Bandstand ,0
Barefoot in the Park ,0
Beautiful: The Carole King Musical ,1
Beauty and the Beast ,1
Bengal Tiger at the Baghdad Zoo ,0
Betrayal ,1
Big Fish ,0
Billy Elliot: The Musical ,1
Blackbird ,0
Blithe Spirit ,0
Bloody Bloody Andrew Jackson ,0
Boeing-Boeing ,0
Bonnie & Clyde ,0
Born Yesterday ,0
Breakfast at Tiffany's ,0
Bridge & Tunnel ,0
Brief Encounter ,0
Bright Star ,0
Brighton Beach Memoirs,0
Bring It On: The Musical ,0
Bronx Bombers ,0
Bullets Over Broadway ,0
Butley ,0
Bye Bye Birdie ,0
Cabaret ,1
Casa Valentina ,0
Cat on a Hot Tin Roof  - Rev 4,1
Cat on a Hot Tin Roof  - Rev 5,1
Catch Me If You Can ,1
Cats ,1
Chaplin ,0
Charlie and the Chocolate Factory ,1
Chicago ,1
China Doll ,1
Chinglish ,0
Chita Rivera: The Dancer's Life ,0
Chitty Chitty Bang Bang ,1
Cinderella ,1
Cirque Dreams: Jungle Fantasy ,0
Clybourne Park ,0
Colin Quinn: Long Story Short ,0
Collected Stories ,0
"Come Back, Little Sheba ",0
Come Fly Away ,1
Come From Away ,1
Company ,0
Constellations ,0
Coram Boy ,0
Cry-Baby ,0
Curtains ,1
Cymbeline ,0
Cyrano de Bergerac  - Rev 16,1
Cyrano de Bergerac  - Rev 17 ,0
Dames at Sea ,0
Dead Accounts ,0
Dear Evan Hansen ,1
Death of a Salesman ,1
Desire Under the Elms ,0
Deuce ,0
Dirty Rotten Scoundrels ,1
Disaster! ,0
Disgraced ,0
Dividing The Estate ,0
Doctor Zhivago ,0
Don't Dress for Dinner ,0
Doubt ,0
Dr. Seuss' How the Grinch Stole Christmas! ,1
Dr. Seuss' How the Grinch Stole Christmas!Ê- Rev,1
Driving Miss Daisy ,0
Eclipsed ,0
Elf - The Musical ,1
Elf The Musical ,1
Elling ,0
End of the Rainbow ,0
ENRON ,0
Equus ,1
Everyday Rapture ,0
Evita ,1
Exit the King ,0
Faith Healer ,0
Falsettos ,0
Fela! ,1
Fela! - Rev,0
Fences ,1
Festen ,0
Fiddler on the Roof  - Rev 4,1
Fiddler on the Roof  - Rev 5,1
Finding Neverland ,1
Finian's Rainbow ,0
First Date ,0
Fish in the Dark ,1
Follies ,1
Fool For Love ,0
Frost/Nixon ,0
Fully Committed ,0
Fun Home ,0
Ghetto Klown ,0
Ghost The Musical ,0
Gigi ,0
Glengarry Glen Ross ,1
Glory Days ,0
God of Carnage ,1
Godspell ,0
Golden Boy ,0
Good People ,0
Gore Vidal's The Best Man ,1
Grace ,0
Grease ,1
Grey Gardens ,0
Groundhog Day ,0
Guys and Dolls ,1
Gypsy ,1
Hair ,1
HAIR Revival ,0
Hairspray ,1
Hamilton ,1
Hamlet ,1
Hand to God ,0
Hands on a Hardbody ,0
Harvey ,0
Heartbreak House ,0
Hedda Gabler ,0
Hedwig and the Angry Inch ,1
Heisenberg ,0
"Hello, Dolly! ",1
HIGH ,0
High Fidelity ,0
Holiday Inn ,0
Holler If Ya Hear Me ,0
Honeymoon in Vegas ,0
Hot Feet ,0
How to Succeed in Business Without Really Trying ,1
Hughie ,0
I'll Eat You Last: A Chat With Sue Mengers ,1
If/Then ,1
Impressionism ,0
In the Heights ,1
IN THE NEXT ROOM or the vibrator play ,0
In Transit ,0
Indecent ,0
Inherit the Wind ,0
Irena's Vow ,0
Irving Berlin's White Christmas ,1
Is He Dead? ,0
It Shoulda Been You ,0
It's Only A Play ,1
Jekyll & Hyde ,0
Jersey Boys ,1
Jerusalem ,0
Jesus Christ Superstar ,0
Jitney ,0
Joe Turner's Come and Gone ,0
Journey's End ,0
Junk ,0
King Charles III ,0
Kinky Boots ,1
La Bete ,0
La Cage aux Folles ,0
Lady Day at Emerson's Bar and Grill ,0
Latin History for Morons ,0
Latinologues ,0
Leap of Faith ,0
Legally Blonde ,1
Lend Me A Tenor ,0
Les Liaisons Dangereuses  - Rev 1,0
Les Liaisons Dangereuses  - Rev 2,0
Les Miserables  - Rev 1,1
Les Miserables  - Rev 2,1
Lestat ,0
Living on Love ,0
Lombardi ,0
Long Day's Journey Into Night ,0
Looped ,0
Losing Louie ,0
Love Letters ,0
LoveMusik ,0
Lucky Guy ,1
Lysistrata Jones ,0
M. Butterfly ,0
Macbeth  - Rev 47,0
Macbeth  - Rev 48,0
Macbeth  - Rev 49 ,0
Machinal ,0
Magic/Bird ,0
Mamma Mia! ,1
Man and Boy ,0
Martin Short: Fame Becomes Me ,0
Marvin's Room ,0
Mary Poppins ,1
Mary Stuart ,0
Master Class ,0
Matilda ,1
Mauritius ,0
Memphis ,1
Meteor Shower ,0
Million Dollar Quartet ,0
Misery ,1
Miss Saigon ,0
Monty Python's Spamalot ,1
Mothers and Sons ,0
Motown  - Original,1
Motown  - Revival,0
Mrs. Warren's Profession ,0
"Natasha, Pierre & The Great Comet of 1812 ",1
Newsies ,1
Next Fall ,0
Next To Normal ,0
Nice Work If You Can Get It ,1
No Man's Land & Waiting for Godot ,0
Noises Off ,0
November ,0
Of Mice and Men ,1
"Oh, Hello on Broadway ",0
Old Acquaintance ,0
Old Times ,0
Oleanna ,0
On a Clear Day You Can See Forever ,1
On The Town ,0
On the Twentieth Century ,0
On Your Feet! ,1
Once ,1
"One Man, Two Guvnors ",0
Orphans ,0
Oslo ,0
Other Desert Cities ,0
Our Mother's Brief Affair ,0
Outside Mullingar ,0
Pal Joey ,0
Paramour ,1
Passing Strange ,0
Peter and the Starcatcher ,0
Picnic ,0
Pippin ,1
Prelude to a Kiss ,0
Present Laughter  - Rev 4 ,0
Present Laughter  - Rev 5,0
Prince of Broadway ,0
Priscilla Queen of the Desert The Musical ,1
Private Lives ,0
"Promises, Promises ",1
Pygmalion ,0
Rabbit Hole ,0
Race ,0
Radio Golf ,0
Ragtime ,0
RAIN - A Tribute to the Beatles ,0
reasons to be pretty ,0
Red ,0
Relatively Speaking ,0
Rent ,1
Ring of Fire ,0
Rock 'n' Roll ,0
