Show,ID,,
13,1,,
1984,2,,
[title of show] ,3,,
110 in the Shade,4,,
33 Variations,5,,
700 Sundays,6,,
9 to 5: The Musical ,7,,
A Behanding in Spokane,8,,
A Bronx Tale The Musical ,9,,
A Catered Affair,10,,
A Chorus Line ,11,,
A Christmas Story - The Musical!,12,,
A Delicate Balance,13,,
"A Doll's House, Part 2 ",14,,
A Free Man of Color,15,,
A Gentleman's Guide to Love and Murder ,16,,
A Life in the Theatre ,17,,
A Little Night Music ,18,,
A Man for All Seasons ,19,,
A Moon for the Misbegotten ,20,,
A Night With Janis Joplin ,21,,
A Raisin in the Sun ,22,,
A Steady Rain ,23,,
A Streetcar Named Desire,24,,
A Tale of Two Cities ,25,,
A Time to Kill ,26,,
A Touch of the Poet,27,,
A View from the Bridge  - Rev 3,28,,
A View From the Bridge  - Rev 4,29,,
Accent on Youth ,30,,
Act One ,31,,
After Midnight ,32,,
After Miss Julie ,33,,
Airline Highway ,34,,
Aladdin ,35,,
All About Me ,36,,
All My Sons ,37,,
All the Way ,38,,
Allegiance ,39,,
Amazing Grace ,40,,
Amelie ,41,,
American Buffalo ,42,,
American Idiot ,43,,
American Psycho ,44,,
An Act of God  - Jim Parsons,45,,
An Act of God  - Sean Hayes,46,,
An American in Paris ,47,,
An Enemy of the People ,48,,
Anastasia ,49,,
Ann,50,,
Annie ,51,,
Anything Goes ,52,,
Arcadia ,53,,
August: Osage County ,54,,
Avenue Q ,55,,
Awake and Sing! ,56,,
Baby It's You! ,57,,
Bandstand ,58,,
Barefoot in the Park ,59,,
Beautiful: The Carole King Musical ,60,,
Beauty and the Beast ,61,,
Bengal Tiger at the Baghdad Zoo ,62,,
Betrayal ,63,,
Big Fish ,64,,
Billy Elliot: The Musical ,65,,
Blackbird ,66,,
Blithe Spirit ,67,,
Bloody Bloody Andrew Jackson ,68,,
Boeing-Boeing ,69,,
Bonnie & Clyde ,70,,
Born Yesterday ,71,,
Breakfast at Tiffany's ,72,,
Bridge & Tunnel ,73,,
Brief Encounter ,74,,
Bright Star ,75,,
Brighton Beach Memoirs,76,,
Bring It On: The Musical ,77,,
Bronx Bombers ,78,,
Bullets Over Broadway ,79,,
Butley ,80,,
Bye Bye Birdie ,81,,
Cabaret ,82,,
Casa Valentina ,83,,
Cat on a Hot Tin Roof  - Rev 4,84,,
Cat on a Hot Tin Roof  - Rev 5,85,,
Catch Me If You Can ,86,,
Cats ,87,,
Chaplin ,88,,
Charlie and the Chocolate Factory ,89,,
Chicago ,90,,
China Doll ,91,,
Chinglish ,92,,
Chita Rivera: The Dancer's Life ,93,,
Chitty Chitty Bang Bang ,94,,
Cinderella ,95,,
Cirque Dreams: Jungle Fantasy ,96,,
Clybourne Park ,97,,
Colin Quinn: Long Story Short ,98,,
Collected Stories ,99,,
"Come Back, Little Sheba ",100,,
Come Fly Away ,101,,
Come From Away ,102,,
Company ,103,,
Constellations ,104,,
Coram Boy ,105,,
Cry-Baby ,106,,
Curtains ,107,,
Cymbeline ,108,,
Cyrano de Bergerac  - Rev 16,109,,
Cyrano de Bergerac  - Rev 17 ,110,,
Dames at Sea ,111,,
Dead Accounts ,112,,
Dear Evan Hansen ,113,,
Death of a Salesman ,114,,
Desire Under the Elms ,115,,
Deuce ,116,,
Dirty Rotten Scoundrels ,117,,
Disaster! ,118,,
Disgraced ,119,,
Dividing The Estate ,120,, 
Doctor Zhivago ,121,,
Don't Dress for Dinner ,122,,
Doubt ,123,,
Dr. Seuss' How the Grinch Stole Christmas! ,124,,
Dr. Seuss' How the Grinch Stole Christmas!Ê- Rev,125,,
Driving Miss Daisy ,126,,
Eclipsed ,127,,
Elf - The Musical ,128,,
Elf The Musical ,129,,
Elling ,130,,
End of the Rainbow ,131,,
ENRON ,132,,
Equus ,133,,
Everyday Rapture ,134,,
Evita ,135,,
Exit the King ,136,,
Faith Healer ,137,,
Falsettos ,138,,
Fela! ,139,,
Fela! - Rev,140,,
Fences ,141,,
Festen ,142,,
Fiddler on the Roof  - Rev 4,143,,
Fiddler on the Roof  - Rev 5,144,,
Finding Neverland ,145,,
Finian's Rainbow ,146,,
First Date ,147,,
Fish in the Dark ,148,,
Follies ,149,,
Fool For Love ,150,,
Frost/Nixon ,151,,
Fully Committed ,152,,
Fun Home ,153,,
Ghetto Klown ,154,,
Ghost The Musical ,155,,
Gigi ,156,,
Glengarry Glen Ross ,157,,
Glory Days ,158,,
God of Carnage ,159,,
Godspell ,160,,
Golden Boy ,161,,
Good People ,162,,
Gore Vidal's The Best Man ,163,,
Grace ,164,,
Grease ,165,,
Grey Gardens ,166,,
Groundhog Day ,167,,
Guys and Dolls ,168,,
Gypsy ,169,,
Hair ,170,,
HAIR Revival ,171,,
Hairspray ,172,,
Hamilton ,173,,
Hamlet ,174,,
Hand to God ,175,,
Hands on a Hardbody ,176,,
Harvey ,177,,
Heartbreak House ,178,,
Hedda Gabler ,179,,
Hedwig and the Angry Inch ,180,,
Heisenberg ,181,,
"Hello, Dolly! ",182,,
HIGH ,183,,
High Fidelity ,184,,
Holiday Inn ,185,,
Holler If Ya Hear Me ,186,,
Honeymoon in Vegas ,187,,
Hot Feet ,188,,
How to Succeed in Business Without Really Trying ,189,,
Hughie ,190,,
I'll Eat You Last: A Chat With Sue Mengers ,191,,
If/Then ,192,,
Impressionism ,193,,
In the Heights ,194,,
IN THE NEXT ROOM or the vibrator play ,195,,
In Transit ,196,,
Indecent ,197,,
Inherit the Wind ,198,,
Irena's Vow ,199,,
Irving Berlin's White Christmas ,200,,
Is He Dead? ,201,,
It Shoulda Been You ,202,,
It's Only A Play ,203,,
Jekyll & Hyde ,204,,
Jersey Boys ,205,,
Jerusalem ,206,,
Jesus Christ Superstar ,207,,
Jitney ,208,,
Joe Turner's Come and Gone ,209,,
Journey's End ,210,,
Junk ,211,,
King Charles III ,212,,
Kinky Boots ,213,,
La Bete ,214,,
La Cage aux Folles ,215,,
Lady Day at Emerson's Bar and Grill ,216,,
Latin History for Morons ,217,,
Latinologues ,218,,
Leap of Faith ,219,,
Legally Blonde ,220,,
Lend Me A Tenor ,221,,
Les Liaisons Dangereuses  - Rev 1,222,,
Les Liaisons Dangereuses  - Rev 2,223,,
Les Miserables  - Rev 1,224,,
Les Miserables  - Rev 2,225,,
Lestat ,226,,
Living on Love ,227,,
Lombardi ,228,,
Long Day's Journey Into Night ,229,,
Looped ,230,,
Losing Louie ,231,,
Love Letters ,232,,
LoveMusik ,233,,
Lucky Guy ,234,,
Lysistrata Jones ,235,,
M. Butterfly ,236,,
Macbeth  - Rev 47,237,,
Macbeth  - Rev 48,238,,
Macbeth  - Rev 49 ,239,,
Machinal ,240,,
Magic/Bird ,241,,
Mamma Mia! ,242,,
Man and Boy ,243,,
Martin Short: Fame Becomes Me ,244,,
Marvin's Room ,245,,
Mary Poppins ,246,,
Mary Stuart ,247,,
Master Class ,248,,
Matilda ,249,,
Mauritius ,250,,
Memphis ,251,,
Meteor Shower ,252,,
Million Dollar Quartet ,253,,
Misery ,254,,
Miss Saigon ,255,,
Monty Python's Spamalot ,256,,
Mothers and Sons ,257,,
Motown  - Original,258,,
Motown  - Revival,259,,
Mrs. Warren's Profession ,260,,
"Natasha, Pierre & The Great Comet of 1812 ",261,,
Newsies ,262,,
Next Fall ,263,,
Next To Normal ,264,,
Nice Work If You Can Get It ,265,,
No Man's Land & Waiting for Godot ,266,,
Noises Off ,267,,
November ,268,,
Of Mice and Men ,269,,
"Oh, Hello on Broadway ",270,,
Old Acquaintance ,271,,
Old Times ,272,,
Oleanna ,273,,
On a Clear Day You Can See Forever ,274,,
On The Town ,275,,
On the Twentieth Century ,276,,
On Your Feet! ,277,,
Once ,278,,
Once On This Island ,279,,
"One Man, Two Guvnors ",280,,
Orphans ,281,,
Oslo ,282,,
Other Desert Cities ,283,,
Our Mother's Brief Affair ,284,,
Outside Mullingar ,285,,
Pal Joey ,286,,
Paramour ,287,,
Passing Strange ,288,,
Peter and the Starcatcher ,289,,
Picnic ,290,,
Pippin ,291,,
Prelude to a Kiss ,292,,
Present Laughter  - Rev 4 ,293,,
Present Laughter  - Rev 5,294,,
Prince of Broadway ,295,,
Priscilla Queen of the Desert The Musical ,296,,
Private Lives ,297,,
"Promises, Promises ",298,,
Pygmalion ,299,,
Rabbit Hole ,300,,
Race ,301,,
Radio Golf ,302,,
Ragtime ,303,,
RAIN - A Tribute to the Beatles ,304,,
reasons to be pretty ,305,,
Red ,306,,
Relatively Speaking ,307,,
Rent ,308,,
Ring of Fire ,309,,
Rock 'n' Roll ,310,,
Rock of Ages ,311,,
Rocky ,312,,
Romeo and Juliet ,313,,
Scandalous: The Life and Trials of Aimee Semple McPherson ,314,,
School of Rock - The Musical ,315,,
Seascape ,316,,
Seminar ,317,,
She Loves Me ,318,,
Shining City ,319,,
Shrek The Musical ,320,,
Shuffle Along,321,,
Side Show ,322,,
Significant Other ,323,,
Sister Act ,324,,
Six Degrees of Separation ,325,,
Skylight ,326,,
Something Rotten! ,327,,
Sondheim on Sondheim ,328,,
Soul Doctor ,329,,
South Pacific ,330,,
Souvenir ,331,,
Speed-the-Plow ,332,,
Spider-Man: Turn Off the Dark ,333,,
SpongeBob SquarePants ,334,,
Spring Awakening  - Original,335,,
Spring Awakening  - Revival,336,,
Stick Fly ,337,,
Sunday in the Park with George  - Rev 2,338,,
Sunday in the Park with George  - Rev 3,339,,
Sunset Boulevard ,340,,
Superior Donuts ,341,,
Sweat ,342,,
Sweeney Todd ,343,,
Sweet Charity ,344,,
Sylvia ,345,,
Talk Radio ,346,,
Tarzan ,347,,
That Championship Season ,348,,
The 25th Annual Putnam County Spelling Bee ,349,,
The 39 Steps ,350,,
The Addams Family ,351,,
The American Plan ,352,,
The Anarchist ,353,,
The Apple Tree ,354,,
The Assembled Parties ,355,,
The Audience ,356,,
The Band's Visit ,357,,
The Big Knife ,358,,
The Book of Mormon ,359,,
The Bridges of Madison County ,360,,
The Caine Mutiny Court-Martial ,361,,
The Cherry Orchard ,362,,
The Children ,363,,
The Coast of Utopia ,364,,
The Color Purple  - Original,365,,
The Color Purple  - Revival,366,,
The Columnist ,367,,
The Country Girl ,368,,
The Country House ,369,,
The Cripple of Inishmaan ,370,,
The Crucible ,371,,
The Curious Incident of the Dog in the Night-Time ,372,,
The Drowsy Chaperone ,373,,
The Elephant Man ,374,,
The Encounter ,375,,
The Farnsworth Invention ,376,,
The Father ,377,,
The Front Page ,378,,
The Gershwins Porgy And Bess ,379,,
The Gin Game ,380,,
The Glass Menagerie  - Rev 6,381,,
The Glass Menagerie  - Rev 7,382,,
The Heidi Chronicles ,383,,
The Heiress ,384,,
The History Boys ,385,,
The Homecoming ,386,,
The House of Blue Leaves ,387,,
The Humans ,388,,
The Importance of Being Earnest ,389,,
The King and I ,390,,
The Last Ship ,391,,
The Lieutenant of Inishmore ,392,,
The Light in the Piazza ,393,,
The Lion King ,394,,
The Little Dog Laughed ,395,,
The Little Foxes ,396,,
The Little Mermaid ,397,,
The Lyons ,398,,
The Merchant of Venice ,399,,
The Miracle Worker ,400,,
The Motherf**ker with the Hat ,401,,
The Mountaintop ,402,,
The Mystery of Edwin Drood ,403,,
The Nance ,404,,
The Normal Heart ,405,,
The Norman Conquests ,406,,
The Odd Couple ,407,,
The Other Place ,408,,
The Pajama Game ,409,,
The Parisian Woman ,410,,
The Pee-Wee Herman Show ,411,,
The People in the Picture ,412,,
The Performers ,413,,
The Phantom of the Opera ,414,,
The Philanthropist ,415,,
The Pirate Queen ,416,,
The Pitmen Painters ,417,,
The Play That Goes Wrong ,418,,
The Present ,419,,
The Price ,420,,
The Producers ,421,,
The Real Thing ,422,,
The Realistic Joneses ,423,,
The Ritz ,424,,
The River ,425,,
The Road to Mecca ,426,,
The Royal Family ,427,,
The Scottsboro Boys ,428,,
The Seafarer ,429,,
The Seagull ,430,,
The Snow Geese ,431,,
The Story of My Life ,432,,
The Terms of My Surrender ,433,,
The Testament of Mary ,434,,
The Threepenny Opera ,435,,
The Times They Are A-Changin' ,436,,
The Trip to Bountiful ,437,,
The Velocity of Autumn ,438,,
The Vertical Hour ,439,,
The Visit ,440,,
The Wedding Singer ,441,,
The Winslow Boy ,442,,
The Woman in White ,443,,
The Year of Magical Thinking ,444,,
Therese Raquin    ,445,,
This Is Our Youth ,446,,
Three Days of Rain ,447,,
Thurgood ,448,,
Time and the Conways ,449,,
Time Stands Still ,450,,
To Be Or Not To Be ,451,,
Top Girls ,452,,
Translations ,453,,
Tuck Everlasting ,454,,
Twelfth Night and Richard III ,455,,
Vanya and Sonia and Masha and Spike ,456,,
Venus in Fur ,457,,
Violet ,458,,
Waiting for Godot ,459,,
Waitress ,460,,
War Horse ,461,,
War Paint ,462,,
Well ,463,,
West Side Story ,464,,
Who's Afraid of Virginia Woolf? ,465,,
Wicked ,466,,
Wishful Drinking ,467,,
Wit ,468,,
"Wolf Hall, Parts One & Two ",469,,
Women on the Verge of a Nervous Breakdown ,470,,
Wonderland: A New Alice. A New Musical Adventure. ,471,,
Xanadu ,472,,
You Can't Take It With You ,473,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
