ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre.1,Capacity.1,Street,ProdCredits,Special,Organizer
474,Angels in America: Millennium Approaches ,Revival,Play,,3,2018,,,0.0,RP,8.0,Neil Simon ,1467,52,4,,Nederlander 
475,Carousel ,Revival,Musical, Drama,4,2018,,,0.0,RM,35.0,Marquis ,1612,46,32,,Nederlander 
476,Children of a Lesser God ,Revival,Play, Drama,4,2018,,,0.0,RP,7.0,Studio 54,1006,54,4,,Roundabout  
477,Escape to Margaritaville ,Original,Musical,,3,2018,,,0.0,OM,26.0,Marquis ,1612,46,14,,Nederlander 
478,Farinelli and the King ,Original,Play, Play with music,12,2017,3,2018,0.0,OP,12.0,Belasco ,1018,44,11,,Shubert 
479,Frozen ,Original,Musical, Comedy,3,2018,,,0.0,OM,41.0,St. James ,1709,44,35,Disney,Jujamcyn 
480,Gettin' The Band Back Together ,Original,Musical, Comedy,8,2018,,,0.0,OM,20.0,Belasco ,1018,44,4,,Shubert 
481,Harry Potter and the Cursed Child,Original,Play, Drama,4,2018,,,0.0,OP,35.0,Lyric ,1938,42,16,Box,Ambassador  
482,John Lithgow: Stories by Heart ,Original,Play, Solo,1,2018,3,2018,0.0,OP,1.0,American Airlines ,740,42,1,Solo,Roundabout  
483,Lobby Hero ,Original,Play, Drama,3,2018,5,2018,0.0,OP,4.0,Helen Hayes ,597,44,6,,Second Stage 
484,Mean Girls ,Original,Musical,,4,2018,,,0.0,OM,30.0,August Wilson ,1228,52,21,Box,Jujamcyn 
485,My Fair Lady ,Revival,Musical, Comedy,4,2018,,,0.0,RM,7.0,Vivian Beaumont,1080,65,13,,Lincoln Center 
486,Once on This Island ,Revival,Musical,,12,2017,,,9.0,RM,20.0,Circle in the Square ,840,50,18,,Independent
487,Pretty Woman: The Musical ,Original,Musical, Comedy,8,2018,,,0.0,OM,24.0,Nederlander ,1235,41,26,Box,Nederlander 
488,Saint Joan ,Revival,Play, Drama,4,2018,6,2018,0.0,RP,1.0,Samuel J. Friedman ,650,47,7,,Manhattan  Club
489,SpongeBob SquarePants ,Original,Musical,,12,2017,,,8.0,OM,27.0,Palace ,1743,47,16,Kids,Nederlander 
490,Straight White Men ,Original,Play, Comedy,7,2018,,,0.0,OP,2.0,Helen Hayes ,597,44,3,,Second Stage 
491,The Boys in the Band ,Revival,Play, Drama,5,2018,8,2018,0.0,RP,9.0,Booth ,766,45,5,,Shubert 
492,The Children ,Original,Play,,12,2017,2,2018,0.0,OP,5.0,Samuel J. Friedman ,650,47,4,,Manhattan  Club
493,The Iceman Cometh ,Revival,Play, Drama,4,2018,,,0.0,RP,1.0,Bernard B. Jacobs ,1078,45,6,,Shubert 
494,Three Tall Women ,Original,Play, Drama,3,2018,,,0.0,OP,3.0,John Golden ,805,45,42,,Shubert 
495,Travesties ,Revival,Play,,4,2018,6,2018,0.0,RP,8.0,John Golden ,805,45,4,,Shubert 
