ID,Show,Theatre,Gross,Potential,Rev%,GrossChange,Attendance,Capacity,Att%,AttChange,AvgTicket,TopTicket,Performances,Previews,Week,Month,Year
3,[title of show] ,Lyceum ,69299,198534,0.35,,1490,2766,0.54,,46.5,200.0,0,3,7/6/08,7,2008
3,[title of show] ,Lyceum ,163916,520826,0.31,94617,3863,7312,0.53,2373,42.4,200.0,0,8,7/13/08,7,2008
3,[title of show] ,Lyceum ,154121,520826,0.30,-9795,3543,7312,0.48,-320,43.5,200.0,6,2,7/20/08,7,2008
3,[title of show] ,Lyceum ,162682,520826,0.31,8561,3786,7312,0.52,243,43.0,200.0,8,0,7/27/08,7,2008
3,[title of show] ,Lyceum ,178183,520826,0.34,15501,3986,7312,0.55,200,44.7,200.0,8,0,8/3/08,8,2008
3,[title of show] ,Lyceum ,157123,520826,0.30,-21060,3542,7312,0.48,-444,44.4,200.0,8,0,8/10/08,8,2008
3,[title of show] ,Lyceum ,162745,520826,0.31,5622,3616,7312,0.49,74,45.0,200.0,8,0,8/17/08,8,2008
3,[title of show] ,Lyceum ,149212,520826,0.29,-13533,3324,7312,0.45,-292,44.9,200.0,8,0,8/24/08,8,2008
3,[title of show] ,Lyceum ,164458,520826,0.32,15246,3650,7312,0.50,326,45.1,200.0,8,0,8/31/08,8,2008
3,[title of show] ,Lyceum ,106905,520826,0.21,-57553,2354,7312,0.32,-1296,45.4,200.0,8,0,9/7/08,9,2008
3,[title of show] ,Lyceum ,107591,520826,0.21,686,2224,7312,0.30,-130,48.4,200.0,8,0,9/14/08,9,2008
3,[title of show] ,Lyceum ,121417,520826,0.23,13826,2615,7312,0.36,391,46.4,200.0,8,0,9/21/08,9,2008
3,[title of show] ,Lyceum ,124322,520826,0.24,2905,2748,7312,0.38,133,45.2,200.0,8,0,9/28/08,9,2008
3,[title of show] ,Lyceum ,148510,520826,0.29,24188,3209,7312,0.44,461,46.3,200.0,8,0,10/5/08,10,2008
3,[title of show] ,Lyceum ,217645,520826,0.42,69135,3944,7312,0.54,735,55.2,200.0,8,0,10/12/08,10,2008
6,700 Sundays,Imperial ,1101241,914501,1.20,-302174,7060,7345,0.96,-1710,156.0,350.0,5,0,1/5/14,1,2014
6,700 Sundays,Imperial ,1403415,1111786,1.26,338959,8770,8814,1.00,1221,160.0,350.0,6,0,12/29/13,12,2013
6,700 Sundays,Imperial ,1064456,1111786,0.96,-69681,7549,8814,0.86,-100,141.0,350.0,6,0,12/22/13,12,2013
6,700 Sundays,Imperial ,1134137,1111786,1.02,-62972,7649,8814,0.87,-382,148.3,350.0,6,0,12/15/13,12,2013
6,700 Sundays,Imperial ,1197109,1111786,1.08,75310,8031,8814,0.91,867,149.1,325.0,6,0,12/8/13,12,2013
6,700 Sundays,Imperial ,1121799,1111786,1.01,4492,7164,8814,0.81,-537,156.6,325.0,6,0,12/1/13,12,2013
6,700 Sundays,Imperial ,1117307,1111786,1.00,49385,7701,8814,0.87,-513,145.1,325.0,6,0,11/24/13,11,2013
6,700 Sundays,Imperial ,1067922,1111786,0.96,-79514,8214,8814,0.93,528,130.0,325.0,5,1,11/17/13,11,2013
6,700 Sundays,Imperial ,1147436,1111786,1.03,,7686,8814,0.87,,149.3,325.0,0,6,11/10/13,11,2013
12,A Christmas Story - The Musical!,Lunt-Fontanne ,1558922,1653128,0.94,67434,11840,12120,0.98,-944,131.7,248.0,8,0,12/30/12,12,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,1491488,1655905,0.90,114357,12784,13635,0.94,-695,116.7,248.0,9,0,12/23/12,12,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,1377131,1655905,0.83,246702,13479,13635,0.99,1962,102.2,248.0,9,0,12/16/12,12,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,1130429,1411202,0.80,154245,11517,12120,0.95,1321,98.2,248.0,8,0,12/9/12,12,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,976184,1411202,0.69,-128128,10196,12120,0.84,-1767,95.7,248.0,8,0,12/2/12,12,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,1104312,1570580,0.70,570512,11963,13635,0.88,1734,92.3,248.0,9,0,11/25/12,11,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,533800,1247896,0.43,72519,10229,11768,0.87,3004,52.2,173.0,0,8,11/18/12,11,2012
12,A Christmas Story - The Musical!,Lunt-Fontanne ,461281,1145493,0.40,,7225,10605,0.68,,63.9,173.0,0,7,11/11/12,11,2012
27,A Touch of the Poet,Studio 54,394676,506900,0.78,32370,7236,8064,0.90,352,54.5,86.3,8,0,1/29/06,1,2006
27,A Touch of the Poet,Studio 54,362306,506900,0.71,-3525,6884,8064,0.85,-355,52.6,86.3,8,0,1/22/06,1,2006
27,A Touch of the Poet,Studio 54,365831,506900,0.72,17628,7239,8064,0.90,410,50.5,86.3,8,0,1/15/06,1,2006
27,A Touch of the Poet,Studio 54,348203,506900,0.69,52611,6829,8064,0.85,1247,51.0,86.3,8,0,1/8/06,1,2006
27,A Touch of the Poet,Studio 54,295592,445428,0.66,137159,5582,7056,0.79,2621,53.0,86.3,7,0,1/1/06,1,2006
24,A Streetcar Named Desire,Broadhurst ,614897,1028895,0.60,126798,7919,9344,0.85,735,77.7,197.5,8,0,7/22/12,7,2012
24,A Streetcar Named Desire,Broadhurst ,488099,1028895,0.47,108144,7184,9344,0.77,1260,67.9,197.5,8,0,7/15/12,7,2012
24,A Streetcar Named Desire,Broadhurst ,379955,1040975,0.36,30651,5924,9344,0.63,687,64.1,197.5,8,0,7/8/12,7,2012
24,A Streetcar Named Desire,Broadhurst ,349304,1015867,0.34,15094,5237,9344,0.56,212,66.7,197.5,8,0,7/1/12,7,2012
