Show,ID
[title of show] ,1
13,2
1984,3
110 in the Shade,4
33 Variations,5
9 to 5: The Musical ,6
A Behanding in Spokane,7
A Bronx Tale The Musical ,8
A Catered Affair,9
A Chorus Line ,10
A Christmas Story - The Musical!,11
A Delicate Balance,12
"A Doll's House, Part 2 ",13
A Free Man of Color,14
A Gentleman's Guide to Love and Murder ,15
A Life in the Theatre ,16
A Little Night Music ,17
A Man for All Seasons ,18
A Moon for the Misbegotten ,19
A Night With Janis Joplin ,20
A Raisin in the Sun ,21
A Steady Rain ,22
A Streetcar Named Desire,23
A Tale of Two Cities ,24
A Time to Kill ,25
A Touch of the Poet,26
A View from the Bridge  - Rev 3,27
A View From the Bridge  - Rev 4,28
Accent on Youth ,29
Act One ,30
After Midnight ,31
After Miss Julie ,32
Airline Highway ,33
Aladdin ,34
All About Me ,35
All My Sons ,36
All the Way ,37
Allegiance ,38
Alton Brown Live: Eat Your Science ,39
Amazing Grace ,40
Amelie ,41
American Buffalo ,42
American Idiot ,43
American Psycho ,44
An Act of God  - Jim Parsons,45
An Act of God  - Sean Hayes,46
An American in Paris ,47
An Enemy of the People ,48
Anastasia ,49
Ann,50
Annie ,51
Anything Goes ,52
Arcadia ,53
August: Osage County ,54
Avenue Q ,55
Awake and Sing! ,56
Baby It's You! ,57
Bandstand ,58
Barefoot in the Park ,59
Beautiful: The Carole King Musical ,60
Beauty and the Beast ,61
Bengal Tiger at the Baghdad Zoo ,62
Betrayal ,63
Big Fish ,64
Billy Elliot: The Musical ,65
Black to the Future ,66
Blackbird ,67
Blithe Spirit ,68
Bloody Bloody Andrew Jackson ,69
Boeing-Boeing ,70
Bonnie & Clyde ,71
Born Yesterday ,72
Breakfast at Tiffany's ,73
Bridge & Tunnel ,74
Brief Encounter ,75
Bright Star ,76
Brighton Beach Memoirs,77
Bring It On: The Musical ,78
Bronx Bombers ,79
Bullets Over Broadway ,80
Burn The Floor ,81
Butley ,82
Bye Bye Birdie ,83
Cabaret ,84
Casa Valentina ,85
Cat on a Hot Tin Roof  - Rev 4,86
Cat on a Hot Tin Roof  - Rev 5,87
Catch Me If You Can ,88
